epoch,train_loss,train_acc,val_acc,val_macro_f1
2,3.6208156961281515,73.8047185456366,75.53038362851242,0.6111221841831747
3,3.1136362145990653,76.6967051534779,54.208648851617745,0.48835590898830994
4,2.5930058009902224,78.89405175380956,82.42380624569748,0.7223102133557313
5,2.1069829008964867,81.68121655871586,77.80524438325303,0.6801093029755567
6,1.7124189848864817,83.71663694108076,80.51505100444334,0.6840275772797981
7,1.4846231597044273,84.92443443161551,75.72125915263784,0.6739632684980894
8,1.2616797601528753,86.02819237147595,77.57994868264598,0.6769621229413899
9,1.1918894336792736,86.48659219625145,81.56956004756242,0.707299506705052
10,1.0049724825293784,87.6779623893113,77.59559421741035,0.6593366274943933
11,0.9346815619034061,88.05735473575518,80.00187746417173,0.6896127900538068
12,0.8124346462178318,88.88263087080321,81.90437449152012,0.7100066239283513
13,0.7107965706838953,89.73137457367251,80.26785155516616,0.69779707269945
14,0.611151248391476,90.50658656403517,82.46448463608486,0.7191124368053743
15,0.565394367708655,91.05729215557433,82.76487890356093,0.7224143008780375
16,0.46750521783939997,92.04684126537126,80.84360723449528,0.7151779473095374
17,0.3860589701883928,92.51462811727527,82.78678265223105,0.7239658269915339
18,0.3517347417807135,93.29531587346287,82.44258088741474,0.7237017907201421
19,0.28786788561414534,93.94614975437278,83.35315101070155,0.7313900671545763
20,0.24528137878058912,94.74874057386026,83.75054759371676,0.7324542451318969
21,0.21808220178239787,95.26033355236396,84.51717879717128,0.7366663682016275
22,0.18737619540387568,95.59591977220815,84.54534075974716,0.736710940508664
23,0.15863895857942154,96.08952094871555,85.03035233744289,0.7421488099171949
24,0.14874836609874695,96.23189086016458,85.531009449903,0.7477439277660701
25,0.1344763528376348,96.47360680872367,85.11796733212341,0.7437840430536468
